,workerId,comment,answer1,correct
0,5xrh8QcF,114,1,1
1,5xrh8QcF,19,-1,1
2,5xrh8QcF,27,-1,1
3,5xrh8QcF,60,-1,1
4,5xrh8QcF,87,1,0
5,5xrh8QcF,50,1,1
6,5xrh8QcF,3,-1,1
7,5xrh8QcF,85,-1,1
8,5xrh8QcF,109,1,1
9,5xrh8QcF,41,1,1
10,5xrh8QcF,6,-1,1
11,5xrh8QcF,73,-1,1
12,5xrh8QcF,106,1,1
13,5xrh8QcF,63,-1,1
14,5xrh8QcF,76,1,0
15,5xrh8QcF,119,1,1
16,5xrh8QcF,26,1,0
17,5xrh8QcF,16,-1,1
18,5xrh8QcF,93,1,1
19,5xrh8QcF,31,1,1
20,5xrh8QcF,49,1,1
21,5xrh8QcF,33,1,1
22,5xrh8QcF,97,1,1
23,5xrh8QcF,58,1,1
24,UxuvXXT0,2,-1,1
25,UxuvXXT0,31,1,1
26,UxuvXXT0,102,1,1
27,UxuvXXT0,77,1,0
28,UxuvXXT0,52,1,1
29,UxuvXXT0,34,1,1
30,UxuvXXT0,112,1,1
31,UxuvXXT0,20,1,0
32,UxuvXXT0,95,1,1
33,UxuvXXT0,21,1,0
34,UxuvXXT0,42,1,1
35,UxuvXXT0,19,1,0
36,UxuvXXT0,116,1,1
37,UxuvXXT0,69,1,0
38,UxuvXXT0,91,-1,1
39,UxuvXXT0,4,-1,1
40,UxuvXXT0,85,-1,1
41,UxuvXXT0,60,-1,1
42,UxuvXXT0,109,1,1
43,UxuvXXT0,16,-1,1
44,UxuvXXT0,81,-1,1
45,UxuvXXT0,72,-1,1
46,UxuvXXT0,59,1,1
47,UxuvXXT0,43,1,1
48,hkUmxUuh,25,1,0
49,hkUmxUuh,64,-1,1
50,hkUmxUuh,51,1,1
51,hkUmxUuh,7,-1,1
52,hkUmxUuh,112,1,1
53,hkUmxUuh,24,1,0
54,hkUmxUuh,87,1,0
55,hkUmxUuh,30,1,1
56,hkUmxUuh,12,-1,1
57,hkUmxUuh,59,1,1
58,hkUmxUuh,110,1,1
59,hkUmxUuh,44,1,1
60,hkUmxUuh,105,1,1
61,hkUmxUuh,5,-1,1
62,hkUmxUuh,72,-1,1
63,hkUmxUuh,90,1,1
64,hkUmxUuh,74,1,0
65,hkUmxUuh,107,1,1
66,hkUmxUuh,85,-1,1
