workerId,Session,Study,treatmentId,taskId,comment,answer1,answer2,answerf,answerm,duration,startTime,submitTime,answer_f,answer_m,bias_f,bias_m
5d801be659e51300155599f8,SESSION_ID:64fa534181a09f466c34ace3,STUDY_ID:64fa428fa4e478e7a98223f8,3,10,119,75,55,80,60,duration:17298,startTime:Thu Sep 07 2023 15:53:10 GMT-0700 (Pacific Daylight Time),submitTime:Thu Sep 07 2023 15:53:27 GMT-0700 (Pacific Daylight Time)},0.8,0.6,-0.2,-0.36
5f287688ccd58219916e07af,SESSION_ID:64fa230dfa1ab8e7bf6174b1,STUDY_ID:64fa1e7d676feb23d42ed75d,3,12,74,15,5,15,5,duration:17734,startTime:Thu Sep 07 2023 12:28:52 GMT-0700 (Pacific Daylight Time),submitTime:Thu Sep 07 2023 12:29:10 GMT-0700 (Pacific Daylight Time)},0.15,0.05,-0.332142857,-0.31
63bc6e49ef966f7b73451b41,SESSION_ID:64f8d2e88264cf668916591e,STUDY_ID:64f8ce337b289a6b18812bbb,3,13,32,55,15,55,15,duration:23171,startTime:Wed Sep 06 2023 15:35:20 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 15:35:43 GMT-0400 (Eastern Daylight Time)},0.55,0.15,0.05,-0.358474576
5f5be09e16b98d18b3d213db,SESSION_ID:64fa27ccc754ec161ab9591e,STUDY_ID:64fa1e7d676feb23d42ed75d,3,12,81,55,35,55,38,duration:25224,startTime:Thu Sep 07 2023 14:52:38 GMT-0500 (Central Daylight Time),submitTime:Thu Sep 07 2023 14:53:03 GMT-0500 (Central Daylight Time)},0.55,0.38,0.067857143,-0.137241379
633643465b40568290457617,SESSION_ID:64f8d4bd3684ef5bfd4996c1,STUDY_ID:64f8ce337b289a6b18812bba,3,14,101,45,45,50,50,duration:33883,startTime:Wed Sep 06 2023 14:44:52 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 14:45:26 GMT-0500 (Central Daylight Time)},0.5,0.5,-0.480392157,-0.481818182
60504d76137312c86f02c52c,SESSION_ID:64f8d79cd366fb415db9404f,STUDY_ID:64f8ce337b289a6b18812bbb,3,13,26,5,5,7,5,duration:32889,startTime:Wed Sep 06 2023 15:00:46 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 15:01:19 GMT-0500 (Central Daylight Time)},0.07,0.05,-0.72245283,-0.648113208
5f5be09e16b98d18b3d213db,SESSION_ID:64fa27ccc754ec161ab9591e,STUDY_ID:64fa1e7d676feb23d42ed75d,3,6,79,15,5,15,5,duration:35304,startTime:Thu Sep 07 2023 14:49:44 GMT-0500 (Central Daylight Time),submitTime:Thu Sep 07 2023 14:50:19 GMT-0500 (Central Daylight Time)},0.15,0.05,-0.21,-0.195283019
6400df45e639d203b8518cad,SESSION_ID:64f88c958fa793bb55ffc33f,STUDY_ID:64f87d77f1db16f3b98108c2,3,20,21,35,15,39,11,duration:26198,startTime:Wed Sep 06 2023 09:39:53 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 09:40:19 GMT-0500 (Central Daylight Time)},0.39,0.11,-0.35137931,-0.479285714
614f5734ca61d17940ac78b3,SESSION_ID:64f8d8e607f28e107449970c,STUDY_ID:64f8ce337b289a6b18812bbb,3,4,22,15,5,15,5,duration:22339,startTime:Wed Sep 06 2023 15:58:08 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 15:58:31 GMT-0400 (Eastern Daylight Time)},0.15,0.05,-0.321698113,-0.45877193
5d49f28a3fefca00193319ac,SESSION_ID:64f8e625e4a64557ade855b8,STUDY_ID:64f8ce337b289a6b18812bba,3,1,100,85,85,90,81,duration:41606,startTime:Wed Sep 06 2023 17:00:09 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 17:00:50 GMT-0400 (Eastern Daylight Time)},0.9,0.81,-0.067213115,-0.19
6101ef1676d38820d1002ef5,SESSION_ID:64f8e4bf513660da02a396a3,STUDY_ID:64f8ce337b289a6b18812bbb,3,4,8,1,5,0,5,duration:16751,startTime:Wed Sep 06 2023 16:49:33 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 16:49:50 GMT-0400 (Eastern Daylight Time)},0,0.05,0,0.05
5f29c35127bcc61497b0b1ac,SESSION_ID:64f8d750ab79699f6fe34474,STUDY_ID:64f8ce337b289a6b18812bba,3,6,53,95,85,95,85,duration:40741,startTime:Wed Sep 06 2023 14:56:04 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 14:56:45 GMT-0500 (Central Daylight Time)},0.95,0.85,-0.05,-0.15
5fbcba5a9b4bfe18cd49abea,SESSION_ID:64f8dd9ee1d2f129ab2f79a0,STUDY_ID:64f8ce337b289a6b18812bbb,3,6,32,1,1,0,0,duration:13119,startTime:Wed Sep 06 2023 15:18:28 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 15:18:41 GMT-0500 (Central Daylight Time)},0,0,-0.5,-0.508474576
5dc6e8472865554f0289bb6d,SESSION_ID:64f88f216e0884bb5f2e7fc5,STUDY_ID:64f87d77f1db16f3b98108c3,3,23,26,65,5,69,3,duration:17045,startTime:Wed Sep 06 2023 09:50:42 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 09:50:59 GMT-0500 (Central Daylight Time)},0.69,0.03,-0.10245283,-0.668113208
5fbcba5a9b4bfe18cd49abea,SESSION_ID:64f8dd9ee1d2f129ab2f79a0,STUDY_ID:64f8ce337b289a6b18812bbb,3,7,50,95,95,99,100,duration:30228,startTime:Wed Sep 06 2023 15:18:41 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 15:19:11 GMT-0500 (Central Daylight Time)},0.99,1,0.026363636,0.036363636
5effc7a64495250cbb0d8de8,SESSION_ID:64f8908a2b857b80f1f48973,STUDY_ID:64f87d77f1db16f3b98108c2,3,18,35,45,85,45,85,duration:4471,startTime:Wed Sep 06 2023 07:53:46 GMT-0700 (Pacific Daylight Time),submitTime:Wed Sep 06 2023 07:53:51 GMT-0700 (Pacific Daylight Time)},0.45,0.85,-0.533870968,-0.051960784
63d147592a1ada8a4fee12be,SESSION_ID:64f8e495def0764ad96145c9,STUDY_ID:64f8ce337b289a6b18812bbb,3,5,19,35,45,34,46,duration:81144,startTime:Wed Sep 06 2023 16:54:26 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 16:55:47 GMT-0400 (Eastern Daylight Time)},0.34,0.46,-0.186315789,0.102857143
5a9067894eecca0001dd1427,SESSION_ID:64f8e6c7f68f75a97ffd7114,STUDY_ID:64f8ce337b289a6b18812bba,3,4,43,65,15,67,15,duration:41349,startTime:Wed Sep 06 2023 16:56:21 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 16:57:02 GMT-0400 (Eastern Daylight Time)},0.67,0.15,-0.312142857,-0.771568627
5d49f28a3fefca00193319ac,SESSION_ID:64f8e625e4a64557ade855b8,STUDY_ID:64f8ce337b289a6b18812bba,3,9,13,15,1,13,0,duration:17951,startTime:Wed Sep 06 2023 17:09:57 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 17:10:15 GMT-0400 (Eastern Daylight Time)},0.13,0,-0.466153846,-0.622641509
61110faa7e65b9b5ae70c267,SESSION_ID:64fa23dfdd1b2d434bde3efc,STUDY_ID:64fa1e7d676feb23d42ed75d,3,20,111,95,95,91,95,duration:20499,startTime:Thu Sep 07 2023 15:34:46 GMT-0400 (Eastern Daylight Time),submitTime:Thu Sep 07 2023 15:35:07 GMT-0400 (Eastern Daylight Time)},0.91,0.95,0.063846154,0.033333333
6400df45e639d203b8518cad,SESSION_ID:64f88c958fa793bb55ffc33f,STUDY_ID:64f87d77f1db16f3b98108c2,3,14,97,15,25,15,30,duration:21149,startTime:Wed Sep 06 2023 09:37:04 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 09:37:25 GMT-0500 (Central Daylight Time)},0.15,0.3,-0.8,-0.682758621
5caa7f8c0d95570013d82f2f,SESSION_ID:64f8e65cfbeffecfd8356c81,STUDY_ID:64f8ce337b289a6b18812bbb,3,8,9,1,1,0,0,duration:16725,startTime:Wed Sep 06 2023 14:00:44 GMT-0700 (Pacific Daylight Time),submitTime:Wed Sep 06 2023 14:01:00 GMT-0700 (Pacific Daylight Time)},0,0,0,-0.039215686
6418e61f3b8276ec30d33995,SESSION_ID:64f88e389c3987a2e6960ad2,STUDY_ID:64f87d77f1db16f3b98108c2,3,13,50,75,45,75,43,duration:28478,startTime:Wed Sep 06 2023 10:45:20 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:45:48 GMT-0400 (Eastern Daylight Time)},0.75,0.43,-0.213636364,-0.533636364
