workerId,Session,Study,treatmentId,taskId,comment,answer1,answer2,duration,startTime,submiTiime,answer,biasf
5974561734b844000168d1e0,SESSION_ID:64f9d70c0eeff7274c3b34db,STUDY_ID:64f9ca79054670dbff57b69b,1,19,116,25,28,duration:20428,startTime:Thu Sep 07 2023 10:07:02 GMT-0400 (Eastern Daylight Time),submitTime:Thu Sep 07 2023 10:07:23 GMT-0400 (Eastern Daylight Time)},0.28,-0.72
63cf4f4722d1c48cef8b0b10,SESSION_ID:64f9cbcc7aca7019d05ad974,STUDY_ID:64f9ca79054670dbff57b69a,1,6,115,55,55,duration:15176,startTime:Thu Sep 07 2023 09:13:48 GMT-0400 (EDT),submitTime:Thu Sep 07 2023 09:14:03 GMT-0400 (EDT)},0.55,-0.45
63d8352e4565d58f6e88cf09,SESSION_ID:64f8900ec574e454a02c25c8,STUDY_ID:64f87d77f1db16f3b98108c2,1,15,64,1,0,duration:13098,startTime:Wed Sep 06 2023 10:50:17 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:50:30 GMT-0400 (Eastern Daylight Time)},0,0
5cffe60f6846ae00019d35ef,SESSION_ID:64f8887e25ea83f8f2033ec5,STUDY_ID:64f87d77f1db16f3b98108c2,1,21,19,1,0,duration:30581,startTime:Wed Sep 06 2023 10:23:26 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:23:56 GMT-0400 (Eastern Daylight Time)},0,-0.526315789
5e6a285eb7c24208ef1b9569,SESSION_ID:64fa29d575bda03db5ddd020,STUDY_ID:64fa1e7d676feb23d42ed75d,1,5,52,95,100,duration:21430,startTime:Thu Sep 07 2023 15:56:43 GMT-0400 (Eastern Daylight Time),submitTime:Thu Sep 07 2023 15:57:05 GMT-0400 (Eastern Daylight Time)},1,0.01754386
645b64a4db6c2fa817932d6e,SESSION_ID:64f8e104514d7136f1b875a5,STUDY_ID:64f8ce337b289a6b18812bbb,1,14,101,95,98,duration:43543,startTime:Wed Sep 06 2023 15:51:01 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 15:51:44 GMT-0500 (Central Daylight Time)},0.98,-0.000392157
63d41270b0fcb44aade343df,SESSION_ID:64fa50bc7b40a2c44040c8d9,STUDY_ID:64fa428fa4e478e7a98223f8,1,23,33,25,25,duration:3262,startTime:Thu Sep 07 2023 17:41:51 GMT-0500 (Central Daylight Time),submitTime:Thu Sep 07 2023 17:41:54 GMT-0500 (Central Daylight Time)},0.25,-0.75
631639fab96f950c32505935,SESSION_ID:64fa2eeef26311b078de3f19,STUDY_ID:64fa1e7d676feb23d42ed75d,1,1,30,75,80,duration:26258,startTime:Thu Sep 07 2023 13:15:23 GMT-0700 (Mountain Standard Time),submitTime:Thu Sep 07 2023 13:15:49 GMT-0700 (Mountain Standard Time)},0.8,-0.148275862
63d7c7cc6818efd3fd8dfc80,SESSION_ID:64fb361eb9d6d42217ffaa87,STUDY_ID:64fb25990f2d04d645f0af85,1,4,19,15,15,duration:37174,startTime:Fri Sep 08 2023 10:02:15 GMT-0500 (Central Daylight Time),submitTime:Fri Sep 08 2023 10:02:52 GMT-0500 (Central Daylight Time)},0.15,-0.376315789
631639fab96f950c32505935,SESSION_ID:64fa2eeef26311b078de3f19,STUDY_ID:64fa1e7d676feb23d42ed75d,1,19,97,5,10,duration:10182,startTime:Thu Sep 07 2023 13:20:49 GMT-0700 (Mountain Standard Time),submitTime:Thu Sep 07 2023 13:20:59 GMT-0700 (Mountain Standard Time)},0.1,-0.85
