workerId,Session,Study,treatmentId,taskId,comment,answer1,answer2,duration,startTime,submiTiime,answer,biasm
63ed99d5c3520191a0a7280e,SESSION_ID:64f88d0e8afec8d36916590b,STUDY_ID:64f87d77f1db16f3b98108c2,2,18,84,45,45,duration:14886,startTime:Wed Sep 06 2023 10:35:34 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:35:49 GMT-0400 (Eastern Daylight Time)},0.45,-0.016666667
62959d1553cc14e98f4b8d78,SESSION_ID:64f8e53cfbddfda612a1aba9,STUDY_ID:64f8ce337b289a6b18812bba,2,21,14,5,9,duration:5024,startTime:Wed Sep 06 2023 13:58:43 GMT-0700 (Pacific Daylight Time),submitTime:Wed Sep 06 2023 13:58:48 GMT-0700 (Pacific Daylight Time)},0.09,0.032307692
633dbba020f607c3522b86ed,SESSION_ID:64f8e63618ccddb31cae3ab3,STUDY_ID:64f8ce337b289a6b18812bba,2,12,49,95,97,duration:9112,startTime:Wed Sep 06 2023 17:05:58 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 17:06:07 GMT-0400 (Eastern Daylight Time)},0.97,0.028823529
5fc54af5d4630404ca86fa7e,SESSION_ID:64f8905b3fac31d6fd24aa6d,STUDY_ID:64f87d77f1db16f3b98108c3,2,3,51,55,56,duration:332972,startTime:Wed Sep 06 2023 09:47:43 GMT-0500 (Central Daylight Time),submitTime:Wed Sep 06 2023 09:53:16 GMT-0500 (Central Daylight Time)},0.56,-0.37220339
62cc9a938512898953c46e71,SESSION_ID:64fb5ed790d758787f9f3cc8,STUDY_ID:64fb5325bdb79267c69827df,2,2,114,1,0,duration:12106,startTime:Fri Sep 08 2023 10:53:02 GMT-0700 (Pacific Daylight Time),submitTime:Fri Sep 08 2023 10:53:14 GMT-0700 (Pacific Daylight Time)},0,-0.961538462
643c5a145909cc6ac7e6d62c,SESSION_ID:64f9fe4cf1039b24ebf6d4cb,STUDY_ID:64f9ee09a7d6206585ae8d12,2,15,35,75,75,duration:3805,startTime:Thu Sep 07 2023 10:06:17 GMT-0700 (Pacific Daylight Time),submitTime:Thu Sep 07 2023 10:06:21 GMT-0700 (Pacific Daylight Time)},0.75,-0.151960784
6107d8ee8bd9a035d04f6d98,SESSION_ID:64f8906fdf0e210b98b940b1,STUDY_ID:64f87d77f1db16f3b98108c3,2,4,25,55,55,duration:45808,startTime:Wed Sep 06 2023 07:49:40 GMT-0700 (Pacific Daylight Time),submitTime:Wed Sep 06 2023 07:50:26 GMT-0700 (Pacific Daylight Time)},0.55,-0.026923077
62728884995a1a76605d0214,SESSION_ID:64f8921e8535d5a04fa31b82,STUDY_ID:64f87d77f1db16f3b98108c3,2,6,23,65,65,duration:16015,startTime:Wed Sep 06 2023 10:57:30 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:57:46 GMT-0400 (Eastern Daylight Time)},0.65,-0.22037037
63e51bdade16b861346088b4,SESSION_ID:64f88bc96fabf0ef7c2c2579,STUDY_ID:64f87d77f1db16f3b98108c2,2,19,8,1,0,duration:7291,startTime:Wed Sep 06 2023 10:30:22 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 10:30:29 GMT-0400 (Eastern Daylight Time)},0,0
64018f58d236aad3893f34b6,SESSION_ID:64f8e5de25435cbcd5b250a4,STUDY_ID:64f8ce337b289a6b18812bba,2,12,36,5,7,duration:96119,startTime:Wed Sep 06 2023 17:02:08 GMT-0400 (Eastern Daylight Time),submitTime:Wed Sep 06 2023 17:03:44 GMT-0400 (Eastern Daylight Time)},0.07,-0.851568627
