workerId,SESSION_ID,STUDY_ID,taskId,comment,answer1,correct,duration,startTime,submitTime
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,1,114,1,1,duration:33701,startTime:Tue Feb 28 2023 15:56:12 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:56:46 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,2,19,-1,1,duration:17694,startTime:Tue Feb 28 2023 15:56:46 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:57:04 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,3,27,-1,1,duration:20123,startTime:Tue Feb 28 2023 15:57:04 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:57:24 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,4,60,-1,1,duration:9616,startTime:Tue Feb 28 2023 15:57:24 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:57:34 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,5,87,1,0,duration:19244,startTime:Tue Feb 28 2023 15:57:34 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:57:53 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,6,50,1,1,duration:14376,startTime:Tue Feb 28 2023 15:57:53 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:58:07 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,7,3,-1,1,duration:11685,startTime:Tue Feb 28 2023 15:58:07 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:58:19 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,8,85,-1,1,duration:6795,startTime:Tue Feb 28 2023 15:58:19 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:58:26 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,9,109,1,1,duration:7861,startTime:Tue Feb 28 2023 15:58:26 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:58:34 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,10,41,1,1,duration:5292,startTime:Tue Feb 28 2023 15:58:34 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:58:39 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,11,6,-1,1,duration:13149,startTime:Tue Feb 28 2023 15:58:47 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:00 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,12,73,-1,1,duration:5958,startTime:Tue Feb 28 2023 15:59:00 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:06 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,13,106,1,1,duration:6024,startTime:Tue Feb 28 2023 15:59:06 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:12 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,14,63,-1,1,duration:16803,startTime:Tue Feb 28 2023 15:59:12 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:29 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,15,76,1,0,duration:7390,startTime:Tue Feb 28 2023 15:59:29 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:36 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,16,119,1,1,duration:7587,startTime:Tue Feb 28 2023 15:59:36 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:44 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,17,26,1,0,duration:5820,startTime:Tue Feb 28 2023 15:59:44 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 15:59:50 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,18,16,-1,1,duration:14045,startTime:Tue Feb 28 2023 15:59:50 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 16:00:04 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,19,93,1,1,duration:15461,startTime:Tue Feb 28 2023 16:00:04 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 16:00:19 GMT-0600 (Central Standard Time)}
55883e4bfdf99b4021921d15,SESSION_ID:63fe78420dc15c9c0193e793,STUDY_ID:63fe7233100b860c5945348f,20,31,1,1,duration:5354,startTime:Tue Feb 28 2023 16:00:19 GMT-0600 (Central Standard Time),submitTime:Tue Feb 28 2023 16:00:25 GMT-0600 (Central Standard Time)}
