workerId,SESSION_ID,STUDY_ID,taskId,comment,answer1,correct,duration,startTime,submitTime
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,1,21,1,0,duration:49752,startTime:Tue Feb 28 2023 15:42:03 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:42:52 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,2,81,-1,1,duration:25280,startTime:Tue Feb 28 2023 15:42:52 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:43:18 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,3,79,-1,1,duration:25400,startTime:Tue Feb 28 2023 15:43:18 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:43:43 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,4,105,1,1,duration:26003,startTime:Tue Feb 28 2023 15:43:43 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:44:09 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,5,5,-1,1,duration:10987,startTime:Tue Feb 28 2023 15:44:09 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:44:20 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,6,51,1,1,duration:14110,startTime:Tue Feb 28 2023 15:44:20 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:44:34 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,7,64,-1,1,duration:8839,startTime:Tue Feb 28 2023 15:44:34 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:44:43 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,8,97,1,1,duration:10513,startTime:Tue Feb 28 2023 15:44:43 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:44:54 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,9,22,1,0,duration:15021,startTime:Tue Feb 28 2023 15:44:54 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:45:09 GMT-0500 (Eastern Standard Time)}
5596f7bdfdf99b4a8bd2d49f,SESSION_ID:63fe669565b2de1a7dbe07b0,STUDY_ID:63fe55e7357fc7ea8e02a815,10,38,1,1,duration:5487,startTime:Tue Feb 28 2023 15:45:09 GMT-0500 (Eastern Standard Time),submitTime:Tue Feb 28 2023 15:45:14 GMT-0500 (Eastern Standard Time)}
