workerId,comment,answer
5xrh8QcF,114,1
5xrh8QcF,19,-1
5xrh8QcF,27,-1
5xrh8QcF,60,-1
5xrh8QcF,87,1
5xrh8QcF,50,1
5xrh8QcF,3,-1
5xrh8QcF,85,-1
5xrh8QcF,109,1
5xrh8QcF,41,1
5xrh8QcF,6,-1
5xrh8QcF,73,-1
5xrh8QcF,106,1
5xrh8QcF,63,-1
5xrh8QcF,76,1
5xrh8QcF,119,1
5xrh8QcF,26,1
5xrh8QcF,16,-1
5xrh8QcF,93,1
5xrh8QcF,31,1
5xrh8QcF,49,1
5xrh8QcF,33,1
5xrh8QcF,97,1
5xrh8QcF,58,1
UxuvXXT0,2,-1
UxuvXXT0,31,1
UxuvXXT0,102,1
UxuvXXT0,77,1
UxuvXXT0,52,1
UxuvXXT0,34,1
UxuvXXT0,112,1
UxuvXXT0,20,1
UxuvXXT0,95,1
UxuvXXT0,21,1
UxuvXXT0,42,1
UxuvXXT0,19,1
UxuvXXT0,116,1
UxuvXXT0,69,1
UxuvXXT0,91,-1
UxuvXXT0,4,-1
UxuvXXT0,85,-1
UxuvXXT0,60,-1
UxuvXXT0,109,1
UxuvXXT0,16,-1
UxuvXXT0,81,-1
UxuvXXT0,72,-1
UxuvXXT0,59,1
UxuvXXT0,43,1
hkUmxUuh,25,1
hkUmxUuh,64,-1
hkUmxUuh,51,1
hkUmxUuh,7,-1
hkUmxUuh,112,1
hkUmxUuh,24,1
hkUmxUuh,87,1
hkUmxUuh,30,1
hkUmxUuh,12,-1
hkUmxUuh,59,1
hkUmxUuh,110,1
hkUmxUuh,44,1
hkUmxUuh,105,1
hkUmxUuh,5,-1
hkUmxUuh,72,-1
hkUmxUuh,90,1
hkUmxUuh,74,1
hkUmxUuh,107,1
hkUmxUuh,85,-1
hkUmxUuh,19,1
hkUmxUuh,66,1
hkUmxUuh,37,1
hkUmxUuh,49,1
hkUmxUuh,96,1
vxMTt8Jl,45,1
vxMTt8Jl,106,1
vxMTt8Jl,110,1
vxMTt8Jl,24,1
vxMTt8Jl,51,1
vxMTt8Jl,12,-1
vxMTt8Jl,75,1
vxMTt8Jl,81,1
vxMTt8Jl,1,-1
vxMTt8Jl,68,1
vxMTt8Jl,87,1
vxMTt8Jl,7,-1
vxMTt8Jl,39,1
vxMTt8Jl,33,1
vxMTt8Jl,54,1
vxMTt8Jl,17,1
vxMTt8Jl,98,1
vxMTt8Jl,71,-1
vxMTt8Jl,118,1
vxMTt8Jl,93,-1
vxMTt8Jl,47,1
vxMTt8Jl,27,1
vxMTt8Jl,104,1
vxMTt8Jl,63,-1
6xU7RPtx,32,-1
6xU7RPtx,64,-1
6xU7RPtx,108,1
6xU7RPtx,96,1
6xU7RPtx,111,1
6xU7RPtx,71,-1
6xU7RPtx,6,-1
6xU7RPtx,110,1
6xU7RPtx,5,-1
6xU7RPtx,46,1
6xU7RPtx,19,1
6xU7RPtx,58,1
6xU7RPtx,68,1
6xU7RPtx,77,-1
6xU7RPtx,50,1
6xU7RPtx,27,-1
6xU7RPtx,92,1
6xU7RPtx,102,1
6xU7RPtx,80,1
6xU7RPtx,37,1
6xU7RPtx,49,1
6xU7RPtx,23,1
6xU7RPtx,10,-1
6xU7RPtx,82,-1
46AMych1,79,1
46AMych1,87,1
46AMych1,110,1
46AMych1,10,-1
46AMych1,16,-1
46AMych1,31,1
46AMych1,1,-1
46AMych1,22,1
46AMych1,5,-1
46AMych1,55,1
46AMych1,69,1
46AMych1,94,1
46AMych1,117,1
46AMych1,20,-1
46AMych1,54,1
46AMych1,97,1
46AMych1,61,-1
46AMych1,76,1
46AMych1,100,1
46AMych1,30,1
46AMych1,44,1
46AMych1,108,1
46AMych1,45,1
46AMych1,83,-1
bx0JnV67,98,1
bx0JnV67,40,1
bx0JnV67,53,1
bx0JnV67,29,-1
bx0JnV67,70,-1
bx0JnV67,81,1
bx0JnV67,9,-1
bx0JnV67,56,1
bx0JnV67,2,-1
bx0JnV67,65,-1
bx0JnV67,100,1
bx0JnV67,68,1
bx0JnV67,15,-1
bx0JnV67,95,1
bx0JnV67,41,1
bx0JnV67,31,1
bx0JnV67,89,1
bx0JnV67,72,-1
bx0JnV67,110,1
bx0JnV67,106,1
bx0JnV67,119,1
bx0JnV67,13,1
bx0JnV67,23,1
bx0JnV67,33,1
MiuXjhXs,4,-1
MiuXjhXs,8,-1
MiuXjhXs,61,-1
MiuXjhXs,11,1
MiuXjhXs,59,1
MiuXjhXs,116,1
MiuXjhXs,92,1
MiuXjhXs,15,-1
MiuXjhXs,71,1
MiuXjhXs,27,1
MiuXjhXs,89,1
MiuXjhXs,26,1
MiuXjhXs,53,1
MiuXjhXs,104,1
MiuXjhXs,44,1
MiuXjhXs,60,-1
MiuXjhXs,87,1
MiuXjhXs,95,1
MiuXjhXs,72,1
MiuXjhXs,31,1
MiuXjhXs,34,1
MiuXjhXs,107,1
MiuXjhXs,110,1
MiuXjhXs,47,1
WBNELY2U,4,-1
WBNELY2U,43,1
WBNELY2U,75,1
WBNELY2U,52,1
WBNELY2U,1,-1
WBNELY2U,49,1
WBNELY2U,63,-1
WBNELY2U,29,1
WBNELY2U,117,1
WBNELY2U,96,1
WBNELY2U,61,-1
WBNELY2U,81,1
WBNELY2U,22,1
WBNELY2U,19,1
WBNELY2U,94,-1
WBNELY2U,83,1
WBNELY2U,107,1
WBNELY2U,18,-1
WBNELY2U,77,1
WBNELY2U,35,1
WBNELY2U,103,1
WBNELY2U,110,1
WBNELY2U,59,1
WBNELY2U,38,1
po26PHmM,80,1
po26PHmM,21,1
po26PHmM,75,1
po26PHmM,30,1
po26PHmM,10,-1
po26PHmM,108,1
po26PHmM,90,1
po26PHmM,43,1
po26PHmM,111,1
po26PHmM,84,1
po26PHmM,48,1
po26PHmM,61,-1
po26PHmM,26,1
po26PHmM,16,-1
po26PHmM,77,1
po26PHmM,50,1
po26PHmM,38,1
po26PHmM,118,1
po26PHmM,67,-1
po26PHmM,97,1
po26PHmM,7,-1
po26PHmM,104,1
po26PHmM,5,-1
po26PHmM,56,1
X5eJLcQs,4,-1
X5eJLcQs,63,-1
X5eJLcQs,84,1
X5eJLcQs,12,-1
X5eJLcQs,34,1
X5eJLcQs,67,-1
X5eJLcQs,48,1
X5eJLcQs,105,1
X5eJLcQs,32,1
X5eJLcQs,98,1
X5eJLcQs,21,1
X5eJLcQs,108,1
X5eJLcQs,72,-1
X5eJLcQs,44,1
X5eJLcQs,26,1
X5eJLcQs,92,1
X5eJLcQs,81,1
X5eJLcQs,116,1
X5eJLcQs,9,-1
X5eJLcQs,53,1
X5eJLcQs,15,-1
X5eJLcQs,57,1
X5eJLcQs,112,1
X5eJLcQs,77,1
ksvYJU8G,28,1
ksvYJU8G,53,1
ksvYJU8G,91,1
ksvYJU8G,11,1
ksvYJU8G,10,-1
ksvYJU8G,83,1
ksvYJU8G,22,-1
ksvYJU8G,2,-1
ksvYJU8G,39,1
ksvYJU8G,55,1
ksvYJU8G,38,1
ksvYJU8G,80,1
ksvYJU8G,48,1
ksvYJU8G,104,1
ksvYJU8G,78,1
ksvYJU8G,75,1
ksvYJU8G,46,1
ksvYJU8G,63,1
ksvYJU8G,119,1
ksvYJU8G,94,1
ksvYJU8G,4,-1
ksvYJU8G,100,1
ksvYJU8G,64,-1
ksvYJU8G,117,1
vejec4oV,7,-1
vejec4oV,39,1
vejec4oV,67,-1
vejec4oV,98,1
vejec4oV,49,1
vejec4oV,38,1
vejec4oV,5,-1
vejec4oV,27,-1
vejec4oV,66,1
vejec4oV,58,1
vejec4oV,44,1
vejec4oV,105,1
vejec4oV,97,1
vejec4oV,78,1
vejec4oV,118,1
vejec4oV,16,-1
vejec4oV,55,1
vejec4oV,86,1
vejec4oV,13,1
vejec4oV,26,1
vejec4oV,114,1
vejec4oV,106,1
vejec4oV,71,-1
vejec4oV,83,1
iCZJk6RO,86,1
iCZJk6RO,56,1
iCZJk6RO,32,1
iCZJk6RO,19,1
iCZJk6RO,72,-1
iCZJk6RO,104,1
iCZJk6RO,28,1
iCZJk6RO,111,1
iCZJk6RO,48,1
iCZJk6RO,17,-1
iCZJk6RO,57,1
iCZJk6RO,87,1
iCZJk6RO,78,1
iCZJk6RO,63,-1
iCZJk6RO,103,-1
iCZJk6RO,6,-1
iCZJk6RO,21,-1
iCZJk6RO,118,1
iCZJk6RO,42,1
iCZJk6RO,31,1
iCZJk6RO,61,-1
iCZJk6RO,8,-1
iCZJk6RO,99,1
iCZJk6RO,93,-1
3qOrx8S6,95,1
3qOrx8S6,47,1
3qOrx8S6,114,1
3qOrx8S6,26,1
3qOrx8S6,87,1
3qOrx8S6,41,1
3qOrx8S6,14,-1
3qOrx8S6,18,-1
3qOrx8S6,9,-1
3qOrx8S6,34,1
3qOrx8S6,7,-1
3qOrx8S6,108,1
3qOrx8S6,112,1
3qOrx8S6,58,1
3qOrx8S6,36,1
3qOrx8S6,92,1
3qOrx8S6,24,1
3qOrx8S6,78,1
3qOrx8S6,105,1
3qOrx8S6,51,1
3qOrx8S6,81,1
3qOrx8S6,65,-1
3qOrx8S6,60,-1
3qOrx8S6,73,-1
7MR5DCz0,49,1
7MR5DCz0,32,1
7MR5DCz0,100,1
7MR5DCz0,13,-1
7MR5DCz0,85,-1
7MR5DCz0,3,-1
7MR5DCz0,110,1
7MR5DCz0,37,1
7MR5DCz0,99,1
7MR5DCz0,9,-1
7MR5DCz0,97,1
7MR5DCz0,63,-1
7MR5DCz0,29,-1
7MR5DCz0,41,1
7MR5DCz0,71,-1
7MR5DCz0,106,1
7MR5DCz0,82,1
7MR5DCz0,76,1
7MR5DCz0,53,1
7MR5DCz0,23,1
7MR5DCz0,51,1
7MR5DCz0,112,1
7MR5DCz0,12,-1
7MR5DCz0,64,-1
pbjhWn06,39,1
pbjhWn06,20,-1
pbjhWn06,50,1
pbjhWn06,81,1
pbjhWn06,27,-1
pbjhWn06,111,1
pbjhWn06,63,1
pbjhWn06,13,-1
pbjhWn06,100,1
pbjhWn06,71,-1
pbjhWn06,116,1
pbjhWn06,44,1
pbjhWn06,85,-1
pbjhWn06,10,-1
pbjhWn06,7,-1
pbjhWn06,47,1
pbjhWn06,60,-1
pbjhWn06,98,1
pbjhWn06,70,-1
pbjhWn06,1,-1
pbjhWn06,31,-1
pbjhWn06,108,1
pbjhWn06,95,-1
pbjhWn06,57,1
yzgaN9rQ,89,-1
yzgaN9rQ,19,1
yzgaN9rQ,25,1
yzgaN9rQ,4,-1
yzgaN9rQ,42,1
yzgaN9rQ,79,-1
yzgaN9rQ,83,-1
yzgaN9rQ,39,1
yzgaN9rQ,57,1
yzgaN9rQ,62,-1
yzgaN9rQ,66,-1
yzgaN9rQ,52,1
yzgaN9rQ,43,1
yzgaN9rQ,115,1
yzgaN9rQ,24,-1
yzgaN9rQ,101,1
yzgaN9rQ,118,1
yzgaN9rQ,18,-1
yzgaN9rQ,32,1
yzgaN9rQ,94,-1
yzgaN9rQ,75,1
yzgaN9rQ,91,-1
yzgaN9rQ,7,-1
yzgaN9rQ,102,1
gE5vIzQC,4,-1
gE5vIzQC,14,-1
gE5vIzQC,2,-1
gE5vIzQC,17,-1
gE5vIzQC,36,1
gE5vIzQC,20,-1
gE5vIzQC,40,1
gE5vIzQC,58,1
gE5vIzQC,48,1
gE5vIzQC,25,1
gE5vIzQC,32,1
gE5vIzQC,57,1
gE5vIzQC,66,-1
gE5vIzQC,62,-1
gE5vIzQC,72,-1
gE5vIzQC,74,-1
gE5vIzQC,89,1
gE5vIzQC,83,-1
gE5vIzQC,113,1
gE5vIzQC,104,1
gE5vIzQC,90,1
gE5vIzQC,119,1
gE5vIzQC,101,1
gE5vIzQC,93,-1
MC2tYDsc,17,1
MC2tYDsc,32,1
MC2tYDsc,19,1
MC2tYDsc,47,1
MC2tYDsc,1,-1
MC2tYDsc,3,-1
MC2tYDsc,71,1
MC2tYDsc,70,1
MC2tYDsc,118,1
MC2tYDsc,22,1
MC2tYDsc,109,1
MC2tYDsc,116,1
MC2tYDsc,48,1
MC2tYDsc,23,1
MC2tYDsc,62,-1
MC2tYDsc,92,1
MC2tYDsc,63,-1
MC2tYDsc,53,1
MC2tYDsc,98,1
MC2tYDsc,85,1
MC2tYDsc,39,1
MC2tYDsc,51,1
MC2tYDsc,84,1
MC2tYDsc,102,1
3QFcBpwJ,106,1
3QFcBpwJ,0,-1
3QFcBpwJ,52,1
3QFcBpwJ,66,-1
3QFcBpwJ,17,1
3QFcBpwJ,86,-1
3QFcBpwJ,72,-1
3QFcBpwJ,91,-1
3QFcBpwJ,48,1
3QFcBpwJ,56,1
3QFcBpwJ,78,1
3QFcBpwJ,27,-1
3QFcBpwJ,49,1
3QFcBpwJ,65,-1
3QFcBpwJ,117,1
3QFcBpwJ,37,1
3QFcBpwJ,32,1
3QFcBpwJ,8,-1
3QFcBpwJ,21,-1
3QFcBpwJ,19,-1
3QFcBpwJ,82,-1
3QFcBpwJ,118,1
3QFcBpwJ,103,-1
3QFcBpwJ,99,1
oQx661TA,43,1
oQx661TA,119,1
oQx661TA,12,-1
oQx661TA,91,1
oQx661TA,109,1
oQx661TA,117,1
oQx661TA,105,1
oQx661TA,80,1
oQx661TA,50,1
oQx661TA,87,1
oQx661TA,98,1
oQx661TA,17,1
oQx661TA,55,1
oQx661TA,67,-1
oQx661TA,44,1
oQx661TA,61,-1
oQx661TA,2,-1
oQx661TA,27,-1
oQx661TA,38,1
oQx661TA,73,-1
oQx661TA,71,-1
oQx661TA,3,-1
oQx661TA,33,1
oQx661TA,26,-1
ieh7L7dV,6,-1
ieh7L7dV,59,1
ieh7L7dV,83,1
ieh7L7dV,22,1
ieh7L7dV,92,1
ieh7L7dV,81,1
ieh7L7dV,73,-1
ieh7L7dV,79,-1
ieh7L7dV,50,1
ieh7L7dV,101,1
ieh7L7dV,34,1
ieh7L7dV,114,1
ieh7L7dV,68,1
ieh7L7dV,8,-1
ieh7L7dV,38,1
ieh7L7dV,46,1
ieh7L7dV,11,1
ieh7L7dV,97,1
ieh7L7dV,10,-1
ieh7L7dV,21,1
ieh7L7dV,100,1
ieh7L7dV,116,1
ieh7L7dV,67,-1
ieh7L7dV,43,1
E9OEKFoy,11,1
E9OEKFoy,109,1
E9OEKFoy,21,1
E9OEKFoy,75,1
E9OEKFoy,7,-1
E9OEKFoy,115,1
E9OEKFoy,111,1
E9OEKFoy,74,-1
E9OEKFoy,67,-1
E9OEKFoy,42,1
E9OEKFoy,3,-1
E9OEKFoy,36,1
E9OEKFoy,88,1
E9OEKFoy,98,1
E9OEKFoy,65,-1
E9OEKFoy,93,1
E9OEKFoy,32,1
E9OEKFoy,40,1
E9OEKFoy,87,1
E9OEKFoy,56,1
E9OEKFoy,58,1
E9OEKFoy,23,1
E9OEKFoy,10,-1
E9OEKFoy,100,1
WeT0sALr,2,-1
WeT0sALr,107,1
WeT0sALr,80,1
WeT0sALr,30,1
WeT0sALr,50,1
WeT0sALr,64,-1
WeT0sALr,8,-1
WeT0sALr,15,-1
WeT0sALr,47,1
WeT0sALr,94,-1
WeT0sALr,81,-1
WeT0sALr,115,1
WeT0sALr,73,-1
