workerId,comment,answer1
y85qbNJQ,21,1
y85qbNJQ,81,-1
y85qbNJQ,79,-1
y85qbNJQ,105,1
y85qbNJQ,5,-1
y85qbNJQ,51,1
y85qbNJQ,64,-1
y85qbNJQ,97,1
y85qbNJQ,22,1
y85qbNJQ,38,1
y85qbNJQ,44,1
y85qbNJQ,41,1
y85qbNJQ,72,-1
y85qbNJQ,85,-1
y85qbNJQ,54,1
y85qbNJQ,116,1
y85qbNJQ,2,-1
y85qbNJQ,101,1
y85qbNJQ,111,1
y85qbNJQ,92,-1
y85qbNJQ,32,1
y85qbNJQ,17,-1
y85qbNJQ,67,-1
y85qbNJQ,12,-1
HvYzDF8w,102,1
HvYzDF8w,75,1
HvYzDF8w,110,1
HvYzDF8w,32,-1
HvYzDF8w,26,1
HvYzDF8w,48,1
HvYzDF8w,64,-1
HvYzDF8w,6,-1
HvYzDF8w,81,-1
HvYzDF8w,39,1
HvYzDF8w,59,1
HvYzDF8w,1,-1
HvYzDF8w,86,1
HvYzDF8w,18,1
HvYzDF8w,90,1
HvYzDF8w,28,1
HvYzDF8w,68,-1
HvYzDF8w,43,1
HvYzDF8w,103,-1
HvYzDF8w,118,1
HvYzDF8w,95,1
HvYzDF8w,52,1
HvYzDF8w,74,-1
HvYzDF8w,10,-1
tJMdE5bi,8,-1
tJMdE5bi,69,1
tJMdE5bi,104,1
tJMdE5bi,70,1
tJMdE5bi,80,1
tJMdE5bi,85,1
tJMdE5bi,48,1
tJMdE5bi,59,1
tJMdE5bi,119,1
tJMdE5bi,43,1
tJMdE5bi,5,-1
tJMdE5bi,62,-1
tJMdE5bi,27,-1
tJMdE5bi,51,1
tJMdE5bi,109,1
tJMdE5bi,93,-1
tJMdE5bi,39,1
tJMdE5bi,91,1
tJMdE5bi,114,1
tJMdE5bi,15,-1
tJMdE5bi,79,-1
tJMdE5bi,29,-1
tJMdE5bi,12,-1
tJMdE5bi,30,1
MQ3dN0iv,13,1
MQ3dN0iv,16,-1
MQ3dN0iv,28,1
MQ3dN0iv,92,1
MQ3dN0iv,105,1
MQ3dN0iv,60,-1
MQ3dN0iv,119,1
MQ3dN0iv,111,1
MQ3dN0iv,77,-1
MQ3dN0iv,53,1
MQ3dN0iv,39,1
MQ3dN0iv,52,1
MQ3dN0iv,106,1
MQ3dN0iv,73,-1
MQ3dN0iv,69,-1
MQ3dN0iv,25,-1
MQ3dN0iv,84,-1
MQ3dN0iv,88,-1
MQ3dN0iv,2,-1
MQ3dN0iv,34,1
MQ3dN0iv,93,-1
MQ3dN0iv,44,-1
MQ3dN0iv,4,-1
MQ3dN0iv,46,1
SRDzh3q3,90,1
SRDzh3q3,7,-1
SRDzh3q3,81,1
SRDzh3q3,97,1
SRDzh3q3,83,1
SRDzh3q3,48,1
SRDzh3q3,57,1
SRDzh3q3,4,-1
SRDzh3q3,115,1
SRDzh3q3,107,1
SRDzh3q3,108,1
SRDzh3q3,113,1
SRDzh3q3,14,-1
SRDzh3q3,45,1
SRDzh3q3,18,-1
SRDzh3q3,56,1
SRDzh3q3,71,-1
SRDzh3q3,68,1
SRDzh3q3,66,-1
SRDzh3q3,20,-1
SRDzh3q3,79,-1
SRDzh3q3,31,1
SRDzh3q3,21,1
SRDzh3q3,30,1
CVciLIf8,78,-1
CVciLIf8,18,-1
CVciLIf8,53,1
CVciLIf8,3,1
CVciLIf8,7,-1
CVciLIf8,89,1
CVciLIf8,76,1
CVciLIf8,40,1
CVciLIf8,32,1
CVciLIf8,17,1
CVciLIf8,20,-1
